Name,Age,Address
David,52.0,Madrid
Mike,,Rome
Olivia,25.0,Rome
Laura,49.0,New York
Sophia,54.0,Moscow
Olivia,27.0,Sydney
Alice,38.0,Rome
Bob,32.0,Paris
Laura,31.0,Rome
David,32.0,Madrid
Sophia,44.0,Sydney
Olivia,60.0,Rome
Olivia,39.0,Rome
David,,Moscow
Laura,41.0,Paris
Eve,,London
Eve,37.0,Madrid
John,54.0,Moscow
John,51.0,New York
Emma,48.0,
Mike,,Toronto
David,57.0,Toronto
Emma,32.0,Toronto
Laura,26.0,Berlin
Laura,38.0,Sydney
Emma,,Moscow
Bob,25.0,London
Alice,20.0,Toronto
John,37.0,
David,21.0,Berlin
Eve,28.0,Madrid
David,,
Laura,,Moscow
David,28.0,Paris
Bob,42.0,
Alice,60.0,Moscow
Mike,25.0,London
Mike,24.0,
Mike,50.0,Moscow
Laura,43.0,Berlin
Bob,59.0,Rome
Bob,36.0,Rome
James,31.0,Toronto
James,59.0,Paris
Emma,29.0,Madrid
Sophia,43.0,London
Sophia,52.0,Sydney
John,42.0,Moscow
Laura,43.0,Rome
Sophia,53.0,
Bob,39.0,New York
David,20.0,London
Alice,47.0,London
Emma,,
Bob,50.0,Rome
Bob,,Rome
James,51.0,Toronto
Mike,,Berlin
Emma,,Sydney
James,33.0,Berlin
Bob,58.0,
Eve,59.0,Paris
Alice,39.0,New York
James,22.0,Paris
James,23.0,
Laura,50.0,Sydney
Emma,59.0,Paris
Bob,33.0,New York
Laura,42.0,Paris
Eve,56.0,New York
Laura,55.0,Tokyo
Olivia,59.0,Sydney
David,23.0,Tokyo
David,31.0,Rome
John,23.0,Berlin
Eve,37.0,Madrid
Sophia,,London
Bob,22.0,Toronto
Laura,20.0,Tokyo
Emma,46.0,Toronto
John,27.0,Moscow
Mike,49.0,Moscow
Laura,,Rome
John,23.0,London
Mike,,
John,47.0,Sydney
Alice,35.0,Moscow
John,26.0,
James,,Sydney
Laura,,Berlin
Eve,26.0,Sydney
James,35.0,Toronto
Mike,21.0,London
Mike,,
Olivia,,Sydney
Laura,40.0,Tokyo
Alice,55.0,Madrid
Sophia,51.0,Rome
John,,Sydney
Alice,,Sydney
Emma,,Moscow
Mike,34.0,London
Bob,24.0,Madrid
Olivia,,London
Sophia,,Moscow
Mike,,Sydney
Olivia,,
Eve,60.0,Sydney
Mike,24.0,Berlin
Mike,51.0,New York
Eve,58.0,Moscow
Emma,44.0,Paris
David,25.0,Tokyo
Laura,49.0,Paris
Emma,,
Bob,44.0,Berlin
Sophia,59.0,Tokyo
James,,Paris
James,,Berlin
James,30.0,Sydney
James,46.0,Sydney
Eve,31.0,Rome
Emma,,London
John,44.0,New York
Olivia,40.0,New York
Bob,,Rome
John,,Paris
Alice,24.0,Berlin
Alice,,Toronto
Eve,37.0,Paris
Laura,45.0,Sydney
Olivia,38.0,Paris
Alice,56.0,Tokyo
Laura,24.0,Rome
Laura,20.0,Madrid
James,31.0,Berlin
James,27.0,Moscow
Mike,56.0,Madrid
Sophia,37.0,
James,51.0,Sydney
James,,Sydney
David,30.0,Paris
Emma,58.0,Paris
John,31.0,Madrid
Mike,28.0,Rome
Eve,40.0,Madrid
Alice,,New York
Olivia,42.0,
Sophia,40.0,
Laura,49.0,Madrid
Laura,47.0,Tokyo
Emma,,Toronto
John,50.0,Sydney
James,32.0,Sydney
Alice,34.0,Toronto
Emma,60.0,Paris
Bob,46.0,Tokyo
Olivia,,London
